title,image,description
"Pour retenir leurs étudiants, des villes moyennes déroulent le tapis rouge aux grandes écoles",https://img.lemde.fr/2019/12/02/90/0/7542/5028/110/74/60/0/f009cfb_W9xSSUd4bOTf2LxQ0QZigdYv.jpg,
« Je suis une femme tout à fait banale qui a contracté le VIH en étant étudiante »,https://img.lemde.fr/2019/11/26/2/0/3307/2204/110/74/60/0/34d7e95_dAx6Mr_MQAXOivyA87oElmpw.jpg,
"« Sur le logement étudiant, les promesses faites sont intenables »",https://img.lemde.fr/2019/11/29/0/0/6144/4096/110/74/60/0/c31aed1_gPb65hIpetDBa-InLo5pEsPA.jpg,
Eleves victimes de violences : le « J’accuse » des personnels du lycée d’Alembert à Aubervilliers,https://img.lemde.fr/2019/06/20/0/4/4248/2832/110/74/60/0/c5eb4a4_BYwmxvDuwu7WpYKlGBbHJHP9.jpg,
Nouveau bac : report de l’ouverture de la « banque nationale de sujets »,https://img.lemde.fr/2019/07/10/0/4/4920/3280/110/74/60/0/dbfb49c_1KofvTU0ESiMz44qq6LlvHPO.jpg,
"Pour réduire la précarité étudiante, les loyers des résidences universitaires seront gelés",https://img.lemde.fr/2019/11/26/85/605/2682/1788/110/74/60/0/0c026a7_5112685-01-06.jpg,
« Charnier » à Paris : le Centre du don des corps à la science ferme le temps d’une inspection,https://img.lemde.fr/2019/11/27/0/1529/2271/1514/110/74/60/0/1095b57_MN_Dn0UP4IgUPFR5qWoW7ukT.jpg,
« Une allocation d’autonomie pour les étudiants n’aurait rien d’une utopie budgétaire »,https://img.lemde.fr/2014/09/05/0/0/750/500/110/74/60/0/ill_4482808_5e0c_tribes_of_the_city2.jpg,
Choisir son orientation : participez aux conférences O21 du « Monde » à Nantes le 17 décembre,https://img.lemde.fr/2019/11/19/0/0/3000/2000/110/74/60/0/57ace4c_2BNLO9zMuZzVmI-tkO1QQ_n5.jpg,
Nicolas Mathieu : « Mon parcours d’étudiant n’avait aucune valeur sur le marché du travail »,https://img.lemde.fr/2019/11/18/409/0/1500/1000/110/74/60/0/0f1f94d_AWf2U19QZj2WddkQf9lhMJ_8.jpg,
Journée nationale contre la précarité étudiante : une mobilisation en demi-teinte,https://img.lemde.fr/2019/11/26/0/0/4000/2666/110/74/60/0/1a870b4_i9aSCgLZl8dWunWcI6FnZijx.jpg,
"« Le crédit public, une possible solution de bon sens à la pauvreté étudiante »",https://img.lemde.fr/2019/11/26/0/0/5669/3779/110/74/60/0/6e9b5df_C2nVk_cW5t0vHb14RCa7aQmF.jpg,
"« Mes études, c’est un sacrifice financier »",https://img.lemde.fr/2019/11/25/1280/0/3072/2048/110/74/60/0/7578596_QxhVSiqpfMAufwGYv3R4ig1S.jpeg,
« Les moyens alloués à la santé mentale des étudiants restent très insuffisants »,https://img.lemde.fr/2019/11/26/1837/0/3820/2540/110/74/60/0/0245143_jPGq_EMm4dHoIzVzJObANcmb.jpg,
"Précarité étudiante : « L’urgence est là, ne détournons pas les yeux »",https://img.lemde.fr/2019/11/26/526/471/3202/2135/110/74/60/0/c100869_Amk394GLAyNHDapXNYcqyZJ_.jpg,
"Face aux écrans, la bataille des enseignants pour maintenir l’attention des étudiants",https://img.lemde.fr/2019/11/25/90/0/7542/5028/110/74/60/0/60490e4_SGP0VXOAHohYRidKN-3rheV5.jpg,
La nécessaire formation des ingénieurs et des informaticiens aux bizarreries quantiques,https://img.lemde.fr/2019/11/21/152/0/3648/2432/110/74/60/0/ba4992f_rG7Wm2_pf9Q5PxuTcEzJt0WT.JPG,
"« La population la plus touchée par la pauvreté, ce sont les jeunes »",https://img.lemde.fr/2019/11/25/0/4/4920/3280/110/74/60/0/e9ff8ae_TBskykKCfPpUnV83PMO__4GX.jpg,
Un gant pour donner une voix à ceux qui ne peuvent pas parler,https://img.lemde.fr/2019/11/29/1993/0/1068/712/110/74/60/0/03ae145_XBP9Js_1xqdeGmm8gJ77XVhy.png,
Précarité étudiante : « Les week-ends sont longs quand on ne sort pas de son studio »,https://img.lemde.fr/2019/11/26/526/471/3202/2135/110/74/60/0/c100869_Amk394GLAyNHDapXNYcqyZJ_.jpg,
"« Les étudiants sont demandeurs d’une interdiction des écrans, pour éviter les tentations »",https://img.lemde.fr/2019/11/20/0/5/5118/3412/110/74/60/0/b449ffe__eAH-HYrrKMjvKNoJuDk5jOD.jpg,
Pourquoi les enfants de prof réussissent mieux leurs études,https://img.lemde.fr/2019/11/06/303/475/3691/2461/110/74/60/0/2d411b6_A-5AVgB1H74vFAQ8pnaRmXZ2.jpg,
L’œuf sans poule ni coq d’étudiantes biologistes,https://img.lemde.fr/2019/10/25/566/5/1994/1328/110/74/60/0/f5245a8_iVUV_snxNWFjcomuuAt3mZz4.jpg,
« Confronter le monde de la gestion à celui des climatologues » : les écoles de commerce au défi de la transition écologique,https://img.lemde.fr/2019/11/07/3/0/7360/4906/110/74/60/0/19ce8b7_u05M-ZzI9vbGl0bYgTesw6YO.jpg,
La mode à la recherche de ses galons universitaires,https://img.lemde.fr/2019/11/19/0/0/4752/3168/110/74/60/0/dc4436a_JekPqFo39HKz7SLj0rJ8PkBs.JPG,
"« Je comprends la colère de cette jeunesse et manifester est un droit, mais la violence, non »",https://img.lemde.fr/2019/11/20/516/0/5144/3423/110/74/60/0/e412cda_wKZEguPXweijzggbeh6Fb4gb.jpg,
Les écoles de commerce timidement investies dans la prévention du « management toxique »,https://img.lemde.fr/2019/11/20/623/0/3830/2545/110/74/60/0/adf5d9a_kTkgXmYMdeQk4ujtyrFgIr6r.jpg,
"Au Maroc, l’anglais s’affirme face à l’enseignement en français",https://img.lemde.fr/2019/11/20/0/0/3499/2333/110/74/60/0/735dae0_QLlm0OtGOq6P1zKcH_W2Rgh3.jpg,
"Désuet pour les uns, crucial pour les autres : le conseil de classe à l’épreuve de la réforme du lycée",https://img.lemde.fr/2019/11/21/2/0/6000/4000/110/74/60/0/d892390_av2W5vHgI5iF020zaSCSNBF4.jpg,
"A l’université, des ateliers pour apaiser la « souffrance face à l’écrit »",https://img.lemde.fr/2019/11/21/0/0/5119/3413/110/74/60/0/733b3ca_conIcUZOvX98X7ZaOjKvxEEb.jpg,
« Je ne pouvais plus avoir des convictions éthiques chez moi et les ranger dès que j’allais travailler »,https://img.lemde.fr/2019/11/13/0/264/2889/1926/110/74/60/0/4fe56fd_852vNoAhQKwE_VXFy9DkVAyJ.jpg,
« Le Monde » organise son salon des formations artistiques le 30 novembre et 1er décembre,https://img.lemde.fr/2019/11/20/1210/0/3024/2011/110/74/60/0/e6fc0b7_169D_bF98oYxeY4VAb4D9O90.JPG,
"A l’hôpital, une classe pour lutter contre les troubles associés",https://img.lemde.fr/2019/11/15/0/8/4272/2848/110/74/60/0/eb85d7d_jIsTJ3t0WqiD_q7qs_AOfWIl.jpg,
« Neuromythes » et réalités sur notre cerveau,https://img.lemde.fr/2019/11/19/0/248/3309/2206/110/74/60/0/1107127_uBv8u7ZNZ8NZq8RKyYcc7D5q.jpg,
"Le sport-santé, futur héritage des JO de Paris 2024",https://img.lemde.fr/2019/12/02/153/0/4249/2832/110/74/60/0/41fdaf9_lanQUZHrK0cjPMtDUt5MWH_l.jpg,
Où vont la recherche et l’expertise scientifique sur les risques environnementaux et leurs impacts sanitaires ?,https://img.lemde.fr/2019/12/03/0/54/580/387/110/74/60/0/3c06128_IOjJdgc6sRfK0nL0IGOqKSSs.jpg,
Deux nouveaux records dans le cassage de clés de chiffrement,https://img.lemde.fr/2018/06/13/24/0/4738/3158/110/74/60/0/151ab0f_21021-18xjz0t.ht4fk.jpg,
"« Un chien, un loup… ou peut-être quelque chose à mi-chemin entre les deux ? »",https://img.lemde.fr/2019/12/02/160/0/3592/2394/110/74/60/0/07b418a_49a959a8815a440882b9a04c6e4002ef-49a959a8815a440882b9a04c6e4002ef-0.jpg,
"Les frères Vernoux, des constructeurs bio-inspirés",https://img.lemde.fr/2019/12/02/34/0/700/466/110/74/60/0/f9281bd_s0tr8oRU0II4n361FCIt-N9d.jpg,
"« Stardust Odyssey », une odyssée au microscope",https://img.lemde.fr/2019/11/29/0/300/3240/2160/110/74/60/0/e45e825_i5FSKahzMhcrhtPIDJJDB6ft.jpg,
Maladie de Parkinson : quand la stimulation cérébrale profonde expose à la noyade,https://img.lemde.fr/2019/05/27/262/0/2953/1965/110/74/60/0/51d3f78_UeEZ30RqUO4Kj4UXuL16kbVf.jpg,
"« Les données numériques des usagers, tout comme leur créativité, sont volées »",https://img.lemde.fr/2019/12/02/1022/0/4252/2830/110/74/60/0/bad3405_IDB3XaQbAquewY-gTZk9HwEo.jpg,
Un chiot de 18 000 ans et autres infos scientifiques,https://img.lemde.fr/2019/11/29/0/0/968/644/110/74/60/0/9ece52e_ti5E1W9-LFeD3w23Fy-CJfWI.jpg,
Ces stèles qui bouleversent l’histoire de l’Ethiopie,https://img.lemde.fr/2019/11/29/0/81/948/632/110/74/60/0/1269d15_IhgtK2pmF5oCHuCPOsxT8sZX.jpg,
Ce patient qui ne sait plus nommer les couleurs,https://img.lemde.fr/2019/11/28/55/165/1203/802/110/74/60/0/0b58990__lOTguJCXhhEeq6890xgUrYH.jpg,
Des scientifiques ont détecté dans notre galaxie un trou noir qu’ils ne savent pas expliquer,https://img.lemde.fr/2019/11/27/21/0/1024/682/110/74/60/0/1b35c3a_lQYUByTUA6Amqx9V0tpvg3mo.jpg,
Un gant pour donner une voix à ceux qui ne peuvent pas parler,https://img.lemde.fr/2019/11/29/1993/0/1068/712/110/74/60/0/03ae145_XBP9Js_1xqdeGmm8gJ77XVhy.png,
